material,n_amine,f_acc,f_acc_SE,group_SASA_A2,group_SASA_SE,N_SASA_A2,phi,phi_SE,crowding_6A,primary_SASA,secondary_SASA,tertiary_SASA,drift_group_SASA,n_frames
COF-998,72,0.06094444444444445,0.0023459992065411922,1.058990261157221,0.048833410648226945,0.20708331574912725,0.05594166666666667,0.0005608255387375692,33.06300833333333,1.8655202709422671,0.0804214731062143,0.021234024745613388,0.13291209022939388,10000
COF-999,96,0.14749791666666665,0.004941391359984643,2.866737175005545,0.10537365094459404,0.46515310946969013,0.19873833333333332,0.0007560671502006519,34.013902083333335,5.54073649907372,1.3392869510404604,0.000364424747816416,0.4881156132848905,10000
COF-1000,112,0.15529017857142857,0.0038926385300674018,3.57627362211133,0.08582143685952132,0.729557251577791,0.2746,0.0010274161988133362,33.41745089285714,9.167653191150734,0.6041642947963817,0.00020734511513692636,0.30612627934320447,10000
