N_atom_index,subtype,group_SASA_A2,N_SASA_A2,accessible_time_frac(group>5.0),crowding_6A
354,primary,9.125,1.376,0.602,35.48
355,secondary,1.746,0.194,0.101,29.50
356,secondary,0.000,0.000,0.000,37.46
357,primary,0.100,0.054,0.001,32.17
358,secondary,0.081,0.000,0.000,39.28
359,secondary,0.009,0.001,0.000,48.38
360,secondary,4.782,2.506,0.405,24.71
361,secondary,0.033,0.001,0.000,36.85
362,secondary,0.041,0.041,0.000,30.87
363,secondary,0.000,0.000,0.000,38.79
364,secondary,0.000,0.000,0.000,41.92
365,secondary,0.001,0.000,0.000,33.35
366,primary,24.499,3.833,0.918,20.69
367,primary,33.466,3.756,1.000,23.15
368,primary,0.010,0.004,0.000,35.96
369,primary,0.000,0.000,0.000,39.79
370,primary,0.000,0.000,0.000,51.53
371,primary,0.130,0.012,0.004,40.61
372,tertiary,0.001,0.001,0.000,22.89
373,tertiary,0.000,0.000,0.000,35.39
374,tertiary,0.000,0.000,0.000,42.12
375,tertiary,0.000,0.000,0.000,35.92
376,primary,0.644,0.248,0.040,29.62
377,primary,0.621,0.139,0.006,39.50
384,primary,9.805,0.787,0.653,28.39
385,secondary,0.000,0.000,0.000,41.45
386,secondary,0.000,0.000,0.000,35.42
387,primary,16.262,1.241,0.860,19.55
388,secondary,8.995,0.812,0.647,29.45
389,secondary,0.000,0.000,0.000,36.43
390,secondary,0.389,0.097,0.007,30.55
391,secondary,0.117,0.035,0.003,26.71
392,secondary,0.000,0.000,0.000,38.68
393,secondary,0.002,0.000,0.000,34.75
394,secondary,0.000,0.000,0.000,42.68
395,secondary,0.002,0.001,0.000,42.17
396,primary,28.922,3.385,1.000,19.93
397,primary,4.292,1.248,0.178,28.45
398,primary,0.010,0.002,0.000,37.28
399,primary,6.053,0.565,0.364,28.03
400,primary,0.000,0.000,0.000,46.28
401,primary,0.000,0.000,0.000,48.91
402,tertiary,0.000,0.000,0.000,36.24
403,tertiary,0.000,0.000,0.000,38.69
404,tertiary,0.000,0.000,0.000,37.01
405,tertiary,0.000,0.000,0.000,32.68
406,primary,0.000,0.000,0.000,40.91
407,primary,8.009,3.177,0.594,25.64
1230,primary,1.273,0.403,0.097,28.09
1231,secondary,3.650,0.197,0.267,27.10
1232,secondary,0.001,0.001,0.000,39.87
1233,primary,0.016,0.002,0.000,35.93
1234,secondary,0.000,0.000,0.000,45.74
1235,secondary,0.001,0.000,0.000,32.30
1236,secondary,0.163,0.155,0.003,25.60
1237,secondary,0.000,0.000,0.000,30.71
1238,secondary,0.000,0.000,0.000,39.32
1239,secondary,0.000,0.000,0.000,35.88
1240,secondary,0.000,0.000,0.000,37.02
1241,secondary,0.005,0.005,0.000,26.99
1242,primary,20.604,1.153,0.852,23.21
1243,primary,0.001,0.000,0.000,34.93
1244,primary,0.003,0.001,0.000,44.38
1245,primary,0.007,0.000,0.000,43.53
1246,primary,0.002,0.000,0.000,40.59
1247,primary,18.373,3.336,0.934,21.03
1248,tertiary,0.000,0.000,0.000,35.79
1249,tertiary,0.000,0.000,0.000,37.53
1250,tertiary,0.000,0.000,0.000,42.90
1251,tertiary,0.000,0.000,0.000,23.42
1252,primary,0.078,0.004,0.000,38.97
1253,primary,0.014,0.008,0.000,33.07
1260,primary,11.780,0.781,0.760,23.65
1261,secondary,0.000,0.000,0.000,39.84
1262,secondary,0.000,0.000,0.000,36.87
1263,primary,6.106,1.157,0.402,27.42
1264,secondary,1.193,0.288,0.090,32.20
1265,secondary,0.000,0.000,0.000,35.41
1266,secondary,0.000,0.000,0.000,36.79
1267,secondary,16.931,5.822,0.954,21.96
1268,secondary,0.000,0.000,0.000,39.14
1269,secondary,11.252,3.013,0.666,22.89
1270,secondary,0.000,0.000,0.000,43.02
1271,secondary,4.176,0.052,0.377,25.64
1272,primary,2.529,0.999,0.146,32.41
1273,primary,6.359,0.984,0.357,29.42
1274,primary,0.002,0.001,0.000,39.61
1275,primary,6.682,1.097,0.417,24.27
1276,primary,0.000,0.000,0.000,43.64
1277,primary,5.798,1.671,0.454,27.21
1278,tertiary,0.000,0.000,0.000,36.47
1279,tertiary,0.005,0.005,0.000,24.86
1280,tertiary,0.000,0.000,0.000,28.82
1281,tertiary,0.000,0.000,0.000,28.65
1282,primary,0.047,0.004,0.000,32.94
1283,primary,0.005,0.000,0.000,36.10
