N_atom_index,subtype,group_SASA_A2,N_SASA_A2,accessible_time_frac(group>5.0),crowding_6A
28,secondary,0.302,0.000,0.006,27.61
29,secondary,0.000,0.000,0.000,31.80
74,primary,0.566,0.174,0.030,25.96
75,primary,0.163,0.009,0.000,40.10
120,primary,0.052,0.003,0.000,43.64
121,primary,0.000,0.000,0.000,35.84
142,tertiary,0.000,0.000,0.000,31.78
143,tertiary,0.000,0.000,0.000,27.26
150,primary,0.000,0.000,0.000,41.10
151,primary,0.183,0.068,0.010,36.21
154,secondary,0.000,0.000,0.000,35.91
155,secondary,0.000,0.000,0.000,36.80
160,tertiary,0.000,0.000,0.000,31.16
161,tertiary,0.011,0.011,0.000,22.33
166,primary,0.003,0.001,0.000,35.59
167,primary,12.347,5.246,0.898,27.56
172,primary,0.017,0.011,0.000,34.97
173,primary,0.000,0.000,0.000,46.81
388,secondary,0.000,0.000,0.000,30.32
389,secondary,0.241,0.216,0.001,28.31
434,primary,0.030,0.006,0.000,36.92
435,primary,4.161,0.816,0.336,24.51
480,primary,0.016,0.000,0.000,35.92
481,primary,0.000,0.000,0.000,44.95
502,tertiary,0.322,0.322,0.000,27.32
503,tertiary,0.000,0.000,0.000,30.80
510,primary,1.620,0.299,0.117,33.83
511,primary,0.039,0.031,0.000,35.69
514,secondary,0.000,0.000,0.000,39.64
515,secondary,0.002,0.000,0.000,38.02
520,tertiary,0.000,0.000,0.000,30.71
521,tertiary,0.000,0.000,0.000,31.20
526,primary,0.415,0.140,0.017,30.00
527,primary,0.280,0.033,0.009,30.13
532,primary,0.000,0.000,0.000,45.72
533,primary,0.000,0.000,0.000,38.45
748,secondary,0.255,0.219,0.000,28.68
749,secondary,0.009,0.000,0.000,28.74
794,primary,4.983,0.276,0.409,23.03
795,primary,0.083,0.029,0.000,34.51
840,primary,0.019,0.001,0.000,43.57
841,primary,0.000,0.000,0.000,35.50
862,tertiary,0.000,0.000,0.000,31.40
863,tertiary,0.000,0.000,0.000,26.01
870,primary,0.010,0.002,0.000,34.62
871,primary,2.045,0.207,0.177,35.57
874,secondary,0.000,0.000,0.000,37.36
875,secondary,0.001,0.001,0.000,33.43
880,tertiary,0.000,0.000,0.000,29.76
881,tertiary,0.003,0.003,0.000,24.71
886,primary,0.013,0.001,0.000,31.37
887,primary,11.484,0.701,0.754,26.06
892,primary,0.695,0.052,0.045,29.64
893,primary,0.005,0.000,0.000,44.48
1108,secondary,0.033,0.000,0.000,27.04
1109,secondary,0.421,0.002,0.002,24.54
1154,primary,0.173,0.096,0.000,33.74
1155,primary,0.346,0.037,0.015,30.16
1200,primary,0.012,0.001,0.000,34.12
1201,primary,0.098,0.024,0.000,43.07
1222,tertiary,0.003,0.003,0.000,29.38
1223,tertiary,0.000,0.000,0.000,30.46
1230,primary,27.531,4.002,1.000,21.97
1231,primary,2.660,0.262,0.153,31.26
1234,secondary,0.006,0.000,0.000,37.95
1235,secondary,0.015,0.000,0.000,36.67
1240,tertiary,0.000,0.000,0.000,28.56
1241,tertiary,0.000,0.000,0.000,28.90
1246,primary,0.067,0.061,0.000,32.40
1247,primary,4.476,1.536,0.408,27.68
1252,primary,0.026,0.006,0.000,39.71
1253,primary,0.000,0.000,0.000,39.62
